Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
carla-7,CARLA 7,<p>CARLA 7 is designed with comfort in mind and features a 7 cm heel with a real feel of 3 cm. Leather soles.</p>,Sania D'Mina,Pumps,"Heels,Pumps",TRUE,Color,Black,Size,35,carla-7-black-35,0,shopify,10,deny,manual,7500,TRUE,TRUE,https://www.saniadmina.com/wp-content/uploads/2026/01/Carla7-black-leather-pumps-sania-dmina-front.jpg,1,Black,active
carla-7,,,,,,,Color,Black,Size,35.5,carla-7-black-35.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,36,carla-7-black-36,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,36.5,carla-7-black-36.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,37,carla-7-black-37,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,37.5,carla-7-black-37.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,38,carla-7-black-38,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,38.5,carla-7-black-38.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,39,carla-7-black-39,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,39.5,carla-7-black-39.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,40,carla-7-black-40,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,40.5,carla-7-black-40.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,41,carla-7-black-41,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,41.5,carla-7-black-41.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,42,carla-7-black-42,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,42.5,carla-7-black-42.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,43,carla-7-black-43,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,Color,Black,Size,43.5,carla-7-black-43.5,0,shopify,10,deny,manual,7500,TRUE,TRUE,,,,active
carla-7,,,,,,,,,,,,,,,,,,,,https://www.saniadmina.com/wp-content/uploads/2026/01/frontpagesaniadminacarla7pumpsiliridaarton.jpg,2,Black,
elena,ELENA,<p>This classic suede slingback is a must-have. ELENA is designed with comfort in mind and features a 7 cm heel with a real feel of 3 cm. Leather soles.</p>,Sania D'Mina,Slingbacks,"Heels,Slingbacks",TRUE,Color,Black,Size,35,elena-black-35,0,shopify,10,deny,manual,6000,TRUE,TRUE,https://www.saniadmina.com/wp-content/uploads/2025/07/ELENA-black-suede_comfortable-slingback-shoes-sania-dmina_1-scaled-1.jpg,1,Black,active
elena,,,,,,,Color,Black,Size,35.5,elena-black-35.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,36,elena-black-36,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,36.5,elena-black-36.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,37,elena-black-37,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,37.5,elena-black-37.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,38,elena-black-38,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,38.5,elena-black-38.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,39,elena-black-39,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,39.5,elena-black-39.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,40,elena-black-40,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,40.5,elena-black-40.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,41,elena-black-41,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,41.5,elena-black-41.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,42,elena-black-42,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,42.5,elena-black-42.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,43,elena-black-43,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Black,Size,43.5,elena-black-43.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,35,elena-white-35,0,shopify,10,deny,manual,6000,TRUE,TRUE,https://www.saniadmina.com/wp-content/uploads/2025/07/ELENA-white-leather_comfortable-slingback-shoes-sania-dmina_wedding_1-scaled-1.jpg,1,White,active
elena,,,,,,,Color,White,Size,35.5,elena-white-35.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,36,elena-white-36,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,36.5,elena-white-36.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,37,elena-white-37,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,37.5,elena-white-37.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,38,elena-white-38,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,38.5,elena-white-38.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,39,elena-white-39,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,39.5,elena-white-39.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,40,elena-white-40,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,40.5,elena-white-40.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,41,elena-white-41,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,41.5,elena-white-41.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,42,elena-white-42,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,42.5,elena-white-42.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,43,elena-white-43,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,White,Size,43.5,elena-white-43.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,35,elena-green-35,0,shopify,10,deny,manual,6000,TRUE,TRUE,https://www.saniadmina.com/wp-content/uploads/2025/07/ELENA-green-suede_comfortable-slingback-shoes-sania-dmina_1-scaled-1.jpg,1,Green,active
elena,,,,,,,Color,Green,Size,35.5,elena-green-35.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,36,elena-green-36,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,36.5,elena-green-36.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,37,elena-green-37,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,37.5,elena-green-37.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,38,elena-green-38,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,38.5,elena-green-38.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,39,elena-green-39,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,39.5,elena-green-39.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,40,elena-green-40,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,40.5,elena-green-40.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,41,elena-green-41,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,41.5,elena-green-41.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,42,elena-green-42,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,42.5,elena-green-42.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,43,elena-green-43,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Green,Size,43.5,elena-green-43.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Red,Size,35,elena-red-35,0,shopify,10,deny,manual,6000,TRUE,TRUE,https://www.saniadmina.com/wp-content/uploads/2025/07/ELENA-red-suede_comfortable-slingback-shoes-sania-dmina_1-scaled-1.jpg,1,Red,active
elena,,,,,,,Color,Red,Size,35.5,elena-red-35.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Red,Size,36,elena-red-36,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Red,Size,36.5,elena-red-36.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Red,Size,37,elena-red-37,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Red,Size,37.5,elena-red-37.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Red,Size,38,elena-red-38,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
elena,,,,,,,Color,Red,Size,38.5,elena-red-38.5,0,shopify,10,deny,manual,6000,TRUE,TRUE,,,,active
